,Year,Month,Start_Datetime,Restore_Datetime,Duration,Utility,NERC_Region,Area,Type,Loss_megawatts,Num_Customers_Affected
517,2018,3.0,2018-03-02 15:46:00,2018-03-04 19:46:00,3120.0,Consolidated Edison Co-NY Inc,NPCC,"NY: NY County, Westchester County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,72353
518,2018,3.0,2018-03-02 17:00:00,2018-03-06 11:00:00,5400.0,Delmarva Power & Light Company,RF,DE: MD:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,60000
519,2018,3.0,2018-03-07 12:00:00,2018-03-07 17:00:00,300.0,Exelon Corporation/PECO,RF,PA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,120000
520,2018,3.0,2018-03-07 16:10:00,2018-03-10 11:32:00,4042.0,Jersey Central Power & Lt Co,RF,NJ:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,216800
521,2018,3.0,2018-03-07 17:15:00,,,Public Service Electric & Gas,RF,NJ:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",50,58000
522,2018,3.0,2018-03-07 19:37:00,2018-03-10 16:35:00,4138.0,ISO New England,NPCC,CT: MA: ME: NH: RI: VT:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,102000
523,2018,3.0,2018-03-13 08:50:00,2018-03-14 23:22:00,2312.0,ISO New England,NPCC,MA: RI:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,123629
524,2018,3.0,2018-03-19 23:29:00,2018-03-20 03:37:00,248.0,Southern Company,SERC,AL: GA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",261,78220
525,2018,3.0,2018-03-20 19:00:00,2018-03-25 06:30:00,6450.0,Atlantic City Electric Co,RF,"NJ: Atlantic County, Camden County, Cape May County, Gloucester County, Salem County, Cumberland County, Burlington County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",80,124000
526,2018,3.0,2018-03-24 22:30:00,2018-03-26 20:00:00,2730.0,"American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RF,VA: WV:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,81227
527,2018,4.0,2018-04-04 16:42:00,2018-04-07 06:22:00,3700.0,Niagara Mohawk Power Corporation (dba National Grid),NPCC,NY:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,72896
528,2018,4.0,2018-04-05 00:50:00,2018-04-05 16:00:00,910.0,ISO New England,NPCC,CT: ME: MA: NH: RI: VT:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,65932
529,2018,4.0,2018-04-09 11:16:00,,,Peak Reliability,WECC,UT:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Transmission Interruption,300,250000
530,2018,4.0,2018-04-09 12:16:00,2018-04-09 13:52:00,96.0,Pacificorp,WECC,UT: Salt Lake County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Transmission Interruption,806,57000
531,2018,4.0,2018-04-14 09:30:00,2018-04-14 10:00:00,30.0,Entergy Corp,SERC,LA: AR: MS: TX:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,56350
532,2018,4.0,2018-04-15 07:30:00,2018-04-18 07:30:00,4320.0,DTE Energy,RF,MI:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,389591
533,2018,4.0,2018-04-15 17:14:00,2018-04-15 23:25:00,371.0,Duke Energy Carolinas,SERC,NC: SC:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,78100
534,2018,5.0,2018-05-04 12:00:00,2018-05-06 13:00:00,2940.0,DTE Energy,RF,MI:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,300000
535,2018,5.0,2018-05-04 14:00:00,2018-05-05 09:30:00,1170.0,Consumers Energy Co,RF,"MI: Calhoun County, Genesee County, Ingham County, Kent County, Macomb County, Midland County, Saginaw County, Gratiot County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,90000
536,2018,5.0,2018-05-04 20:10:00,,,Niagara Mohawk Power Corporation (dba National Grid),NPCC,NY:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,106150
537,2018,5.0,2018-05-04 23:10:00,2018-05-05 00:40:00,90.0,ISO New England,NPCC,NH: VT:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,56000
538,2018,5.0,2018-05-05 04:30:00,2018-05-05 15:30:00,660.0,ISO New England,NPCC,VT: NH: ME:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,31900
539,2018,5.0,2018-05-14 19:08:00,,,Dominion Energy VA,SERC,VA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,112000
540,2018,5.0,2018-05-15 14:50:00,,,PPL Electric Utilities Corp,RF,"PA: Lehigh County, Schuylkill County, Cumberland County, Lancaster County, Northampton County, Berks County, Clinton County, Susquehanna County, Bucks County, Carbon County, Chester County, Columbia County, Juniata County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,114000
541,2018,5.0,2018-05-15 16:00:00,,,Central Hudson Gas & Electric,NPCC,"NY: Dutchess County, Ulster County, Orange County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,72000
542,2018,5.0,2018-05-15 17:15:00,,,New York State Electric & Gas,NPCC,NY:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,49999
543,2018,5.0,2018-05-15 17:25:00,,,Jersey Central Power & Lt Co,RF,NJ:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,82372
544,2018,5.0,2018-05-15 18:14:00,2018-05-15 19:00:00,46.0,Metropolitan Edison Co,RF,PA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,52872
545,2018,5.0,2018-05-15 18:35:00,2018-05-18 15:57:00,4162.0,ISO New England,NPCC,CT: MA: RI:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,120000
546,2018,5.0,2018-05-17 01:11:00,,,Peak Reliability,WECC,CA: Contra Costa County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",70,70000
547,2018,5.0,2018-05-17 01:11:00,2018-05-18 00:38:00,1407.0,Pacific Gas & Electric Co,WECC,CA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Transmission Disruption",124,70000
548,2018,5.0,2018-05-26 18:40:00,2018-05-27 23:50:00,1750.0,CenterPoint Energy,TRE,TX: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,163932
549,2018,6.0,2018-06-02 05:00:00,2018-06-02 11:00:00,360.0,Kansas City Power & Light Co.,SPP RE,"MO: Jackson County, Clay County, Platte County, Andrew County; KS: Johnson County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,103535
550,2018,6.0,2018-06-18 18:20:00,2018-06-19 00:15:00,355.0,ISO New England,NPCC,CT: ME: MA: NH: RI: VT:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,112927
