data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8819726,48,BHR10072,10072,"07 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,Demistan,26.1264,50.4811,1,"Bahrain Alyoum; ADHRB; Al Wefaq National Islamic Society; AhlulBayt News Agency; 14 February Revolution Youth Coalition; SALAM DHR","Other-New media","On 7 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Demistan (Northern) demanding the unconditional release of political prisoners detained in Jaw Prison. [size=no report]",0,1644271364,BHR
8428909,48,BHR10045,10045,"03 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition",Other,"On 3 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Sanabis (Capital) in solidarity with the political prisoners detained in Jaw Prison. [size=no report]",0,1630964415,BHR
8428910,48,BHR10046,10046,"03 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"14 February Revolution Youth Coalition",Other,"On 3 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Abu Saybi and Ash Shakhurah (Northern) denouncing the normalization of relations with Israel. [size=no report]",0,1630964415,BHR
8428911,48,BHR10047,10047,"03 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Ash Shakhurah",26.2147,50.5069,1,"14 February Revolution Youth Coalition",Other,"On 3 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Abu Saybi and Ash Shakhurah (Northern) denouncing the normalization of relations with Israel. [size=no report]",0,1630964415,BHR
8532534,48,BHR10080,10080,"03 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"RT; Press TV",Regional-International,"On 3 September 2021, dozens of protesters demonstrated in Manama (Capital) against the Bahraini government's normalization of relations with Israel and against the inauguration of the exchange of diplomatic envoys between the two governments. This comes days before the anniversary of the signature of the normalization agreement. [size=dozens]",0,1631555125,BHR
8749654,48,BHR10064,10064,"18 August 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"LuaLua TV",National,"On 18 August 2021, protesters held a sit-in in Sanabis (Capital) demanding the release of political prisoners held in Jaw Prison. [size=no report]",0,1641867731,BHR
8820813,48,BHR10056,10056,"11 August 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","Prisoners (Bahrain); Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Southern,,,"Jaw Prison",25.9916,50.6165,1,"Bahrain Alyoum",National,"On 11 August 2021, prisoners in Block 5 protested against the prison authority's decision to prohibit the commemoration of Ashura in Jaw Prison (Southern). [size=no report]",0,1644271367,BHR
8629298,48,BHR10055,10055,"07 August 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Muharraq,,,"Al Dair",26.2842,50.6236,1,"14 February Revolution Youth Coalition",Other,"On 7 August 2021, protesters, including February 14 Youth Coalition, continued to demonstrate in Al Dair (Muharraq) for the second day demanding the unconditional release of prisoners of conscience in Jaw Prison. [size=no report]",0,1636407476,BHR
8429524,48,BHR10053,10053,"06 August 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"AhlulBayt News Agency",Regional,"On 6 August 2021, dozens of protesters demonstrated in Sanabis (Capital) demanding the release of political prisoners from Jaw prison. [size=dozens]",0,1630966938,BHR
8629297,48,BHR10054,10054,"06 August 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Muharraq,,,"Al Dair",26.2842,50.6236,1,"14 February Revolution Youth Coalition",Other,"On 6 August 2021, protesters, including February 14 Youth Coalition, demonstrated in Al Dair (Muharraq) demanding the unconditional release of prisoners of conscience in Jaw Prison. [size=no report]",0,1636407476,BHR
8629282,48,BHR10049,10049,"05 August 2021",2021,2,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,"Al Daih",26.2167,50.5333,1,"14 February Revolution Youth Coalition",Other,"Around 5 August 2021, protesters, including February 14 Youth Coalition, demonstrated in the 'resilience triangle' towns of Al Daih, Jidd Hafs, and Sanabis (Capital) as well as Demistan (Northern) denouncing the suffering of the prisoners of Jaw prison. [size=no report]",0,1636407476,BHR
